PLACE_ID	NAME	LONGITUDE	LATITUDE	STATE	URL	IMAGE_URL	IMAGE_WIDTH	IMAGE_HEIGHT
105741	Australian Academy of Science Building	149.1226537	-35.28368637	ACT	http://www.environment.gov.au/heritage/nhl/act/science-building.html	http://www.environment.gov.au/heritage/nhl/act/images/dome.jpg	187	125
105889	Australian War Memorial and the Memorial Parade	149.1466853	-35.28314411	ACT	http://www.environment.gov.au/heritage/nhl/act/war-memorial.html	http://www.environment.gov.au/heritage/nhl/act/images/awg.jpg	185	246
105774	Old Parliament House and Curtilage	149.1295217	-35.30245552	ACT	http://www.environment.gov.au/heritage/nhl/act/old-parliament.html	http://www.environment.gov.au/heritage/nhl/act/images/dig001061.jpg	185	139
105713	Mawsons Huts and Mawsons Huts Historic Site	142.6681018	-67.00972543	ANTA	http://www.environment.gov.au/heritage/nhl/other/mawsons.html	http://www.environment.gov.au/heritage/nhl/other/images/rt32775.jpg	185	122
105778	Brewarrina Aboriginal Fish Traps (Baiames Ngunnhu)	146.855035	-29.95792551	NSW	http://www.environment.gov.au/heritage/nhl/nsw/brewarrina.html			
105761	First Government House Site	151.2116422	-33.86352534	NSW	http://www.environment.gov.au/heritage/nhl/nsw/govhouse.html	http://www.environment.gov.au/heritage/nhl/nsw/images/rt08861.jpg	185	122
105817	"Ku-ring-gai Chase National Park, Lion, Long and Spectacle Island Nature Reserves"	151.213244	-33.6308033	NSW	http://www.environment.gov.au/heritage/nhl/nsw/ku-ring-gai.html	http://www.environment.gov.au/heritage/nhl/nsw/images/ku-ring2.jpg	185	118
105812	Kurnell Peninsula Headland	151.2220886	-34.02303484	NSW	http://www.environment.gov.au/heritage/nhl/nsw/kurnell.html			
105759	North Head - Sydney	151.2960743	-33.81386753	NSW	http://www.environment.gov.au/heritage/nhl/nsw/north-head.html	http://www.environment.gov.au/heritage/nhl/nsw/images/rt09493.jpg	185	125
105893	Royal National Park and Garawarra State Conservation Area	151.0598175	-34.12154944	NSW	http://www.environment.gov.au/heritage/nhl/nsw/royal-park.html	http://www.environment.gov.au/heritage/nhl/nsw/images/royal-np.jpg	185	118
105888	Sydney Harbour Bridge	151.2106171	-33.85114578	NSW	http://www.environment.gov.au/heritage/nhl/nsw/harbour-bridge.html	http://www.environment.gov.au/heritage/nhl/nsw/images/sydney-bridge.jpg	185	121
